district,NUTS2_CODE,NUTS2_NAME
Lewisham,UKI4,Inner London - East
Southwark,UKI4,Inner London - East
Lambeth,UKI4,Inner London - East
Bexley,UKI5,Outer London - East and North East
Greenwich,UKI5,Outer London - East and North East
Barking and Dagenham,UKI5,Outer London - East and North East
Havering,UKI5,Outer London - East and North East
Redbridge,UKI5,Outer London - East and North East
Waltham Forest,UKI5,Outer London - East and North East
Enfield,UKI5,Outer London - East and North East
Bromley,UKI6,Outer London - South
Croydon,UKI6,Outer London - South
Kingston upon Thames,UKI6,Outer London - South
Merton,UKI6,Outer London - South
Wirral,UKD7,Merseyside
Sutton,UKI6,Outer London - South
Barnet,UKI7,Outer London - West and North West
"Kingston upon Hull, City of",UKE1,East Yorkshire and Northern Lincolnshire
Brent,UKI7,Outer London - West and North West
East Riding of Yorkshire,UKE1,East Yorkshire and Northern Lincolnshire
Ealing,UKI7,Outer London - West and North West
North East Lincolnshire,UKE1,East Yorkshire and Northern Lincolnshire
Harrow,UKI7,Outer London - West and North West
North Lincolnshire,UKE1,East Yorkshire and Northern Lincolnshire
Hillingdon,UKI7,Outer London - West and North West
York,UKE2,North Yorkshire
Craven,UKE2,North Yorkshire
Hartlepool,UKC1,Tees Valley and Durham
Hounslow,UKI7,Outer London - West and North West
Stockton-on-Tees,UKC1,Tees Valley and Durham
Hambleton,UKE2,North Yorkshire
South Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire"
Middlesbrough,UKC1,Tees Valley and Durham
Wiltshire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
Richmond upon Thames,UKI7,Outer London - West and North West
Corby,UKF2,"Leicestershire, Rutland and Northamptonshire"
Harrogate,UKE2,North Yorkshire
Redcar and Cleveland,UKC1,Tees Valley and Durham
Bournemouth,UKK2,Dorset and Somerset
East Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire"
Darlington,UKC1,Tees Valley and Durham
Bracknell Forest,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
Poole,UKK2,Dorset and Somerset
Richmondshire,UKE2,North Yorkshire
Kettering,UKF2,"Leicestershire, Rutland and Northamptonshire"
Christchurch,UKK2,Dorset and Somerset
County Durham,UKC1,Tees Valley and Durham
West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
Wellingborough,UKF2,"Leicestershire, Rutland and Northamptonshire"
Ryedale,UKE2,North Yorkshire
East Dorset,UKK2,Dorset and Somerset
Northumberland,UKC2,Northumberland and Tyne and Wear
North Dorset,UKK2,Dorset and Somerset
Reading,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
Boston,UKF3,Lincolnshire
Scarborough,UKE2,North Yorkshire
East Lindsey,UKF3,Lincolnshire
Newcastle upon Tyne,UKC2,Northumberland and Tyne and Wear
Purbeck,UKK2,Dorset and Somerset
Slough,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
Lincoln,UKF3,Lincolnshire
North Tyneside,UKC2,Northumberland and Tyne and Wear
West Dorset,UKK2,Dorset and Somerset
