district,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over
Darlington,6579,3790,2284,6224,1330,2721,2357,6071,6607,20917,21560,6685,9717,6172,1740,810
County Durham,28574,15818,9841,27869,5882,12107,15278,35155,30628,96150,108200,35395,50883,30635,7321,3506
Hartlepool,5698,3202,1990,5653,1257,2570,2451,5955,5622,16869,19326,5837,8174,5568,1323,533
Middlesbrough,9431,5178,3098,8485,1811,3747,4506,11690,9765,25414,27065,7531,10833,7393,1658,807
Northumberland,16003,9863,6482,17677,3841,7631,6992,16224,16187,56156,71135,24533,34366,21018,5233,2687
Redcar and Cleveland,7553,4362,2736,7803,1712,3608,3515,8092,7628,24120,28285,9511,14418,8721,2133,980
Stockton-on-Tees,12322,6824,4149,11457,2355,5168,5296,12651,12602,37535,39652,11648,16102,10368,2429,1052
Gateshead,11869,6323,3987,10880,2439,4778,4953,12104,14059,40466,40515,12596,18608,12412,2897,1328
Newcastle upon Tyne,16522,8534,5501,14488,2929,6156,13311,36012,22948,51972,48952,14133,19380,13857,3578,1904
North Tyneside,11732,6577,4076,10921,2407,4631,4421,10908,12411,41644,42719,13059,18096,12487,3155,1557
South Tyneside,8182,4619,2932,8233,1961,3735,3797,9447,8901,27436,32394,9637,13634,9632,2503,1084
Sunderland,15378,8599,5534,15355,3326,6753,7708,19709,16945,52854,58541,18011,25031,16600,3576,1586
Blackburn with Darwen,11278,6386,4092,10322,2289,4278,3651,9718,10951,30862,26717,7884,10356,6360,1547,798
Blackpool,8218,4652,2784,8052,1660,3487,3501,8529,8580,26854,29094,9415,14353,9148,2431,1307
Cheshire East,20194,12057,7687,21383,4432,9249,8398,18615,19020,72047,79230,26443,37951,23733,6347,3341
Cheshire West and Chester,18050,10742,6701,18737,3905,7904,8296,19511,18796,64058,69122,22686,32782,20387,5215,2716
Halton,8354,4563,2820,7577,1613,3339,3130,8024,8141,25004,26192,8508,10370,6132,1349,630
Warrington,12309,7003,4552,12296,2591,5259,4657,12088,12503,42327,41988,12441,18198,10294,2498,1224
Allerdale,4921,2786,1920,5470,1170,2501,2119,4610,4808,17560,20920,7604,10856,6622,1687,868
Barrow-in-Furness,3719,2204,1437,4022,909,1872,1710,3988,3924,13124,14412,4811,7262,4118,984,591
Carlisle,6064,3449,2066,5702,1201,2491,2898,6536,6685,20573,22715,7247,10386,6827,1782,902
Copeland,3695,2182,1385,3870,858,1752,1592,3826,3978,13107,15777,5227,7443,4414,1019,478
Eden,2383,1608,991,2947,659,1166,1150,2442,2323,9216,11807,4343,6288,3803,978,460
South Lakeland,4466,2822,1907,5438,1248,2594,1956,4272,4571,17729,22744,8790,13175,8417,2295,1234
Bolton,18765,10383,6495,17793,3640,7483,6799,18071,18285,56720,52967,16845,23553,13659,3652,1676
Bury,12235,6875,4233,11361,2421,4827,4297,10688,11622,37977,37272,11712,16292,9623,2397,1228
Manchester,36413,18059,10558,26785,5603,10734,21965,66998,56595,111440,72197,18236,24767,16404,4226,2147
Oldham,16491,9353,6069,15337,3209,6098,5749,14586,15177,44945,42055,12875,18280,10465,2760,1448
Rochdale,14754,8177,4971,13925,2956,5989,5480,14005,14111,42914,41147,12454,16642,10367,2632,1175
Salford,16255,8146,4865,12969,2918,5543,6642,19537,20989,48801,41704,12358,17543,11144,3012,1507
Stockport,17342,9772,6036,16759,3544,7169,6162,15184,15896,57069,59052,18263,26515,17762,4441,2309
Tameside,14439,7727,4728,13029,2785,5787,5415,13744,14320,44882,44400,13867,19044,10977,2822,1358
Trafford,14870,8531,5501,14076,2846,5907,4773,11776,13764,49221,46226,12814,18325,12899,3371,1678
Wigan,19681,11178,6866,18270,4029,8064,7477,19310,20174,66112,63840,21199,30319,15930,3682,1718
Burnley,5847,3211,1956,5040,1090,2221,2229,5574,5751,16979,17186,5841,7595,4606,1276,657
Chorley,6203,3714,2249,6076,1381,2558,2202,6122,6210,22338,22475,7665,10381,5420,1407,754
Fylde,3612,2157,1420,4008,803,1743,1541,3393,3591,12978,16473,5695,9130,6516,1771,926
Hyndburn,5427,3084,1918,5057,1156,2170,1954,5041,5287,16329,15448,5054,7073,4183,1043,510
Lancaster,7232,3956,2511,7714,1557,3260,6456,13194,7969,24291,26135,8735,13256,8572,2348,1189
Pendle,6362,3403,2060,5359,1140,2190,2155,5722,6301,17425,17009,5976,7662,4786,1292,610
Preston,9323,4933,3005,7940,1579,3334,5536,14062,10750,28116,25294,7084,9909,6788,1748,801
Ribble Valley,2881,1819,1284,3805,791,1552,1215,2685,2414,10173,12731,4251,6264,3788,965,514
Rossendale,4329,2340,1563,4052,887,1849,1573,3869,3940,13955,14363,4721,5805,3385,914,437
South Ribble,6331,3615,2268,6359,1321,2728,2424,6349,6290,21855,22595,7510,10707,6351,1629,725
West Lancashire,5998,3594,2341,6685,1355,2812,3557,7196,5447,19720,23219,7886,11764,6754,1558,799
Wyre,5046,3154,2010,5788,1284,2769,2510,5387,4869,17716,22429,8162,13821,9228,2429,1147
Knowsley,9121,5107,3205,9200,2035,4120,3968,9846,9229,27369,31470,8209,11944,8706,1688,676
Liverpool,26099,13590,8664,24315,5432,10811,18329,50636,39966,92015,86674,24418,34027,23709,5307,2423
Sefton,14601,8301,5467,15672,3314,6979,6349,15915,14915,47606,59240,18420,28773,20712,4931,2595
St. Helens,10269,5684,3587,10212,2184,4466,4309,10522,10501,34137,35782,12255,17612,10294,2402,1092
Wirral,18514,10791,6886,19005,4089,8436,7338,18069,17939,58992,67018,21740,31319,21313,5481,2853
East Riding of Yorkshire,16400,9990,6640,18625,4191,8229,7976,15779,15073,60345,72406,27070,38716,23720,5947,3072
"Kingston upon Hull, City of",17358,8754,5220,13944,3090,6413,7913,24040,20274,52108,47717,13844,18301,12788,3166,1476
North East Lincolnshire,10005,5546,3420,9264,2004,4119,4148,10521,9987,29802,32277,10236,14733,9813,2469,1272
North Lincolnshire,10282,5782,3595,9550,2132,4217,3806,9522,9969,31667,35433,11452,16263,10012,2542,1222
York,10677,5747,3601,9712,2039,4179,7879,19746,14159,38818,36363,11716,16929,11629,3200,1657
Craven,2528,1546,1146,3317,711,1394,1125,2403,2292,9384,12507,4446,6505,4216,1242,647
Hambleton,4348,2730,1806,5118,1099,2123,1955,4431,4197,15243,19962,6887,10457,6367,1599,818
Harrogate,8677,5227,3481,9432,2016,4132,3241,7384,8169,30555,33987,10674,15896,10382,2927,1689
Richmondshire,2910,1647,1163,2949,598,1205,1726,4252,3467,9369,10060,3543,5030,2942,717,387
Ryedale,2385,1522,951,3024,669,1459,1059,2203,2085,8483,11508,4351,6433,4081,1000,538
Scarborough,5317,3092,1979,5718,1285,2539,2716,6268,5367,17291,23181,8720,13311,8534,2259,1216
Selby,4875,2741,1818,4852,1028,2167,1812,4453,4346,16589,18761,6001,7702,4554,1147,603
Barnsley,13957,7798,4764,13378,2989,5804,5597,13533,14446,45725,48377,14843,22080,13250,3279,1401
Doncaster,19220,10558,6514,17407,3794,7907,7236,19417,20239,58258,61864,18847,27109,17660,4346,2026
Rotherham,15738,8923,5722,15664,3215,6797,6205,15227,15422,49874,52987,16664,24783,14560,3684,1815
Sheffield,33977,18825,11512,30193,6177,12627,23505,56134,38805,110267,96291,28687,44688,29237,7600,4173
