Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E06000047,County Durham,523.662,5.181,5.374,5.467,5.706,5.857,5.862,6.129,6.078,5.723,6,5.762,5.702,5.517,5.277,5.259,5.005,5.173,5.468,6.093,7.58,7.79,7.502,7.03,6.794,6.731,7.187,7.075,6.503,5.948,5.85,5.766,6.22,6.168,5.954,6.311,6.126,6.01,6.1,5.833,5.423,5.201,5.48,5.623,5.748,6.408,6.872,7.426,7.087,7.51,7.655,7.836,7.945,8.039,8.074,7.835,7.793,7.398,7.042,7.313,7.097,6.937,6.642,6.529,6.342,6.417,6.176,6.33,6.398,6.597,6.714,7.426,5.616,5.538,5.398,4.649,4.227,3.95,3.939,3.828,3.693,3.488,3.017,2.879,2.524,2.278,2.009,1.955,1.619,1.372,1.105,4.154
E06000005,Darlington,106.347,1.114,1.212,1.223,1.238,1.318,1.378,1.275,1.344,1.33,1.295,1.269,1.328,1.218,1.253,1.2,1.149,1.112,1.22,1.203,985,945,1.008,1.115,1.197,1.076,1.301,1.335,1.238,1.258,1.357,1.285,1.276,1.289,1.327,1.266,1.286,1.36,1.388,1.361,1.218,1.164,1.235,1.294,1.352,1.36,1.458,1.553,1.569,1.477,1.488,1.565,1.661,1.644,1.517,1.599,1.588,1.536,1.377,1.433,1.434,1.286,1.305,1.191,1.207,1.22,1.167,1.178,1.183,1.261,1.264,1.424,1.106,1.063,987,848,809,760,780,836,746,700,640,634,526,530,444,384,346,311,259,1.098
E06000001,Hartlepool,93.019,1.016,1.096,1.06,1.108,1.123,1.185,1.214,1.193,1.165,1.179,1.171,1.148,1.074,1.032,1.034,988,1.108,1.156,1.111,955,1.013,1.034,1.168,1.175,1.112,1.307,1.256,1.132,1.169,1.271,1.268,1.177,1.167,1.139,1.081,1.126,1.067,1.075,1.038,912,943,989,982,1.001,1.169,1.179,1.307,1.263,1.246,1.273,1.407,1.41,1.457,1.376,1.41,1.421,1.381,1.261,1.313,1.212,1.205,1.113,1.122,1.013,1.061,1.07,1.023,1.061,1.114,1.099,1.154,883,838,746,673,689,567,653,636,658,633,531,528,458,443,388,335,303,247,196,776
E06000002,Middlesbrough,140.639,1.964,1.881,1.968,1.972,2.036,1.957,1.99,1.905,1.747,1.824,1.779,1.817,1.653,1.618,1.502,1.517,1.607,1.659,1.761,2.095,2.433,2.495,2.293,2.39,2.405,2.326,2.163,2.124,2.087,2.102,1.844,1.95,1.839,1.783,1.775,1.681,1.651,1.588,1.503,1.447,1.374,1.481,1.529,1.547,1.602,1.645,1.765,1.696,1.601,1.711,1.746,1.857,1.96,1.836,1.842,1.985,1.795,1.728,1.731,1.756,1.688,1.595,1.54,1.464,1.469,1.343,1.336,1.32,1.274,1.389,1.473,1.113,1.04,987,946,903,842,825,818,850,749,718,673,586,586,456,475,394,315,259,895
E06000057,Northumberland,319.03,2.862,2.989,2.865,3.035,3.234,3.355,3.399,3.479,3.331,3.567,3.264,3.475,3.346,3.414,3.233,3.356,3.306,3.416,3.491,2.746,2.663,2.917,2.958,2.986,3.255,3.404,3.462,3.27,3.208,3.458,3.259,3.373,3.44,3.25,3.219,3.37,3.397,3.663,3.631,3.199,3.191,3.373,3.545,3.573,3.84,4.083,4.547,4.278,4.474,4.553,4.73,4.769,5.167,5.172,5.076,5.024,4.972,5.051,5.055,4.94,4.721,4.656,4.482,4.532,4.422,4.421,4.533,4.582,4.693,5.033,5.262,3.951,3.877,3.731,3.36,2.915,2.764,2.758,2.66,2.476,2.373,2.136,2.095,1.786,1.62,1.495,1.354,1.2,988,810,3.386
E06000003,Redcar and Cleveland,136.005,1.463,1.404,1.49,1.529,1.668,1.702,1.713,1.563,1.512,1.558,1.571,1.646,1.456,1.469,1.385,1.403,1.444,1.543,1.54,1.371,1.374,1.414,1.511,1.594,1.603,1.727,1.622,1.639,1.633,1.577,1.64,1.646,1.596,1.497,1.42,1.502,1.525,1.524,1.344,1.347,1.264,1.389,1.353,1.46,1.592,1.753,1.802,1.794,1.912,1.882,2.013,2.135,2.038,2.065,2.152,2.055,1.919,1.932,1.927,1.909,1.754,1.748,1.618,1.719,1.688,1.587,1.646,1.678,1.804,1.801,2.034,1.618,1.525,1.483,1.289,1.265,1.136,1.18,1.153,1.07,1.027,871,821,691,653,591,530,495,402,328,1.289
E06000004,Stockton-on-Tees,196.487,2.283,2.308,2.434,2.384,2.505,2.626,2.671,2.631,2.55,2.608,2.479,2.456,2.317,2.282,2.194,2.091,2.168,2.263,2.366,2.173,2.202,2.206,2.339,2.446,2.493,2.679,2.548,2.604,2.482,2.58,2.511,2.706,2.669,2.63,2.507,2.546,2.497,2.567,2.354,2.172,2.129,2.234,2.234,2.305,2.321,2.679,2.709,2.784,2.672,2.777,2.836,2.873,2.838,2.808,2.919,2.901,2.708,2.645,2.532,2.573,2.527,2.295,2.185,2.266,2.193,2.112,2.043,2.098,2.109,2.208,2.348,1.767,1.637,1.663,1.452,1.369,1.261,1.248,1.321,1.217,1.1,1.051,987,833,818,806,715,603,437,397,1.417
E08000037,Gateshead,202.419,2.153,2.24,2.249,2.261,2.172,2.289,2.448,2.323,2.412,2.182,2.303,2.229,2.099,1.986,2.005,2.037,2.133,2.259,2.43,2.441,2.35,2.572,2.413,2.454,2.527,2.752,2.645,2.555,2.729,2.876,2.763,3.03,2.861,2.841,2.906,2.652,2.688,2.727,2.574,2.404,2.345,2.34,2.325,2.261,2.408,2.873,2.844,2.715,2.688,2.772,2.911,2.916,2.935,2.834,3.014,2.91,2.782,2.684,2.635,2.651,2.586,2.293,2.276,2.227,2.132,2.074,2.116,2.246,2.248,2.419,2.609,1.874,1.893,1.83,1.595,1.496,1.477,1.497,1.529,1.478,1.384,1.176,1.156,1.045,981,890,776,650,524,440,1.689
E08000021,Newcastle upon Tyne,295.842,3.25,3.433,3.275,3.35,3.525,3.575,3.537,3.471,3.314,3.362,3.175,3.069,2.85,2.772,2.834,2.838,2.935,2.979,3.75,7.97,9.049,8.706,7.923,7.08,6.444,6.301,6.314,5.855,5.097,4.549,4.332,4.36,3.926,3.837,3.902,3.732,3.562,3.542,3.306,2.9,2.895,3.144,3.053,3.031,3.181,3.298,3.479,3.17,3.276,3.267,3.319,3.415,3.442,3.453,3.452,3.518,3.232,3.183,3.236,3.287,2.905,2.97,2.692,2.657,2.578,2.456,2.417,2.564,2.484,2.546,2.858,2.041,1.924,1.876,1.686,1.527,1.448,1.519,1.571,1.514,1.398,1.34,1.283,1.157,985,970,938,769,668,566,2.223
E08000022,North Tyneside,204.473,2.204,2.285,2.235,2.402,2.313,2.298,2.406,2.431,2.391,2.393,2.22,2.449,2.288,2.174,2.1,2.069,2.092,2.127,2.096,1.892,1.819,1.948,1.794,2.072,2.285,2.311,2.388,2.174,2.474,2.544,2.627,2.643,2.685,2.627,2.703,2.681,2.964,2.902,2.902,2.378,2.428,2.543,2.56,2.594,2.727,3.026,2.966,2.923,2.915,2.915,2.945,3.032,3.203,3.187,3.188,2.978,2.85,2.789,2.752,2.888,2.665,2.58,2.506,2.543,2.508,2.323,2.342,2.375,2.374,2.602,2.765,2.129,1.945,1.913,1.654,1.453,1.291,1.539,1.399,1.42,1.261,1.203,1.129,1.04,959,902,756,757,588,510,1.847
