district,Children,Adolescents,Adults,Elderly
"Aberdeen City",12023,28534,152951,35292
"Aberdeenshire",14660,42833,155501,48806
"Adur",3706,9893,35239,14883
"Allerdale",4676,14498,54739,23300
"Amber Valley",6410,18901,73165,27422
"Angus",5697,17419,66359,26805
"Argyll and Bute",3692,12159,49122,21837
"Arun",7864,21983,83423,45387
"Ashfield",7559,20496,74213,23896
"Ashford",8085,22794,72072,24576
"Aylesbury Vale",12501,35044,115833,32642
"Babergh",4218,14370,48925,23281
"Barking and Dagenham",19887,45600,125428,19796
"Barnet",26621,69168,236959,55055
"Barnsley",14373,38485,143951,46532
"Barrow-in-Furness",3736,10281,38717,14365
"Basildon",12632,31939,108106,31802
"Basingstoke and Deane",11192,30109,104358,29678
"Bassetlaw",6442,18088,66839,24935
"Bath and North East Somerset",9486,28606,114927,35659
"Bedford",11273,30037,98847,29755
"Bexley",15904,43639,145959,40622
"Birmingham",85190,218920,686320,146693
"Blaby",5671,16278,57063,19965
"Blackburn with Darwen",10826,29847,86808,21291
"Blackpool",8485,21875,80966,28544
"Blaenau Gwent",3738,10638,41345,13888
"Bolsover",4373,12293,46745,15687
"Bolton",19468,51534,165309,48502
"Boston",4389,10664,39135,14300
"Bournemouth",11167,27011,121267,35307
"Bracknell Forest",7455,22117,73722,17083
"Bradford",40308,108587,307586,78319
"Braintree",8631,25608,87398,30040
"Breckland",7640,20646,76276,34040
"Brent",24981,56311,209083,38727
"Brentwood",4416,12423,44172,15564
"Bridgend",7992,22855,84506,28935
"Brighton and Hove",14156,40187,195482,38330
"Bristol, City of",29800,69303,300320,59829
"Broadland",6096,19181,70596,32662
"Bromley",21492,56132,194141,57626
"Bromsgrove",5089,15549,55089,21867
"Broxbourne",6362,16580,56551,17269
"Broxtowe",5979,16758,66558,23423
"Burnley",5972,15151,50412,16170
"Bury",12109,33211,110150,34158
"Caerphilly",10373,30010,105950,34462
"Calderdale",12803,35818,122488,38345
"Cambridge",6726,18052,84261,15880
"Camden",14056,37665,171542,30098
"Cannock Chase",5456,15570,59465,18635
"Canterbury",7409,24551,99130,33010
"Cardiff",21921,56758,233212,50865
"Carlisle",6033,16440,62865,22936
"Carmarthenshire",9621,29581,103779,43471
"Castle Point",4503,13574,49246,22491
"Central Bedfordshire",17724,46725,166006,49575
"Ceredigion",3174,10060,41886,17956
"Charnwood",9439,27408,111142,32398
"Chelmsford",10272,29100,103424,33398
"Cheltenham",6497,18204,70175,22252
"Cherwell",9158,25223,86836,26385
"Cheshire East",20214,59882,213406,85344
"Cheshire West and Chester",18765,52317,195449,71455
