Council Area,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
Aberdeen City,225272,2412,2509,2387,2338,2377,2391,2346,2234,2199,2175,2051,1944,1890,1777,1728,1737,1811,1915,2336,3108,3931,3917,3829,3736,4238,5005,5149,4902,4907,4523,4374,4325,4109,3703,3864,3662,3565,3381,3157,2923,2791,2833,2739,2692,2892,2840,2931,2702,2845,2862,2885,2823,2999,2864,3031,2969,2706,2766,2737,2660,2584,2564,2425,2334,2169,2188,2074,2068,2223,2105,2361,1719,1421,1455,1468,1451,1259,1312,1232,1234,1149,1081,1033,925,823,846,686,609,565,424,1581
Aberdeenshire,255275,2712,2983,2932,3047,2986,3094,3302,3415,3381,3281,3123,3101,2951,2907,2887,2786,2799,2990,2816,2541,2456,2486,2717,2824,2687,2605,2701,2681,2699,2866,2939,2981,3169,3153,3259,3467,3507,3469,3356,3246,3333,3460,3370,3630,3823,3897,4115,3983,4161,3934,4150,4090,4186,4163,4143,3921,3805,3632,3561,3616,3438,3505,3323,3348,3105,3051,3109,3087,3206,3233,3460,2552,2296,2218,2151,2017,1745,1848,1663,1535,1419,1395,1215,1132,1019,899,853,679,590,529,1905
Angus,114399,1050,1079,1124,1222,1222,1234,1220,1244,1236,1312,1190,1216,1252,1267,1235,1185,1316,1303,1209,1196,1261,1203,1229,1332,1238,1232,1213,1126,1145,1254,1222,1295,1181,1222,1280,1378,1281,1322,1296,1218,1194,1291,1287,1371,1544,1562,1574,1609,1747,1630,1746,1774,1824,1795,1836,1888,1684,1774,1685,1605,1613,1546,1507,1528,1621,1454,1565,1560,1634,1725,1851,1310,1276,1281,1196,1088,992,1034,898,910,863,776,726,639,567,582,526,456,352,313,1231
Argyll and Bute,86810,687,724,743,779,759,873,850,874,893,889,821,867,859,886,817,842,857,886,945,958,1037,982,988,974,954,898,876,832,845,758,764,794,797,790,806,730,888,877,832,872,910,881,977,923,1058,1132,1118,1217,1212,1300,1355,1314,1438,1397,1456,1370,1417,1375,1326,1319,1324,1327,1260,1227,1237,1260,1348,1245,1367,1356,1521,1116,1086,1084,987,904,834,847,783,751,700,609,598,501,444,457,392,330,266,212,839
City of Edinburgh,498738,5064,5170,5146,5314,5317,5211,5604,5008,5240,5129,4709,4481,4298,4113,4063,4185,4092,4334,5118,7119,8036,8652,8827,9410,9912,10782,11641,11097,11255,10496,9813,9460,9425,8862,8788,8612,7903,7903,7547,6818,6747,6536,6508,6465,6450,6683,6678,6171,6375,6510,6529,6406,6547,6457,6579,6178,6152,5882,5739,5601,5477,5159,4841,4843,4675,4611,4444,4540,4544,4528,5088,3637,3396,3336,3160,2901,2712,2723,2655,2652,2469,2402,2215,2033,1892,1765,1720,1377,1227,1038,4003
Clackmannanshire,50514,537,544,578,522,611,625,576,547,558,638,572,550,542,554,518,548,585,617,587,540,552,554,630,635,617,583,555,560,501,596,558,606,612,524,567,574,603,623,582,614,549,624,654,598,724,772,767,762,866,815,932,794,812,855,833,801,796,745,759,673,702,640,638,667,627,605,640,678,661,677,713,509,537,512,484,426,390,326,342,332,329,272,251,191,160,186,136,162,116,94,321
Dumfries and Galloway,148282,1258,1301,1318,1364,1399,1432,1563,1559,1561,1575,1608,1553,1566,1504,1495,1431,1501,1492,1511,1543,1442,1474,1606,1597,1525,1467,1533,1499,1430,1574,1477,1433,1491,1487,1431,1509,1453,1473,1393,1366,1268,1488,1491,1588,1699,1903,2027,2044,2193,2201,2320,2305,2521,2478,2473,2420,2382,2286,2317,2284,2159,2209,2197,2181,2163,2146,2127,2209,2208,2268,2422,1890,1812,1833,1748,1612,1492,1439,1323,1226,1240,1162,991,956,879,764,660,600,515,395,1492
Dundee City,146829,1578,1484,1584,1482,1639,1711,1624,1480,1586,1516,1454,1371,1467,1352,1340,1330,1358,1447,1811,2599,2865,2795,2624,2639,2790,3139,3074,2951,2663,2565,2468,2140,2312,2109,1994,1984,1916,1713,1636,1501,1511,1548,1475,1398,1520,1639,1841,1720,1835,1856,1801,1917,2019,1932,2021,2005,2017,1928,1856,1873,1841,1613,1547,1460,1504,1404,1402,1462,1461,1564,1737,1251,1159,1126,1057,1023,952,982,957,970,832,830,769,788,620,594,545,472,447,333,1205
East Ayrshire,119564,1217,1312,1343,1251,1347,1450,1428,1334,1386,1357,1328,1280,1280,1335,1240,1276,1285,1318,1285,1379,1344,1350,1458,1472,1430,1446,1460,1441,1461,1443,1472,1528,1384,1371,1375,1401,1413,1492,1384,1286,1226,1382,1455,1489,1628,1723,1816,1802,1924,1936,1954,1963,2056,1925,1892,1815,1839,1760,1763,1700,1686,1562,1535,1508,1572,1475,1449,1483,1490,1561,1731,1230,1230,1185,1111,963,927,900,864,813,796,680,646,581,507,441,382,337,267,271,867
East Dunbartonshire,106816,1058,1057,1135,1218,1180,1158,1323,1220,1243,1234,1164,1242,1253,1229,1159,1188,1248,1234,1213,1185,1087,1212,1180,1238,1228,1264,1151,1070,1059,1070,928,994,981,1010,1051,1116,1157,1174,1219,1091,1169,1205,1210,1242,1395,1488,1596,1554,1565,1578,1717,1639,1762,1763,1735,1764,1694,1581,1697,1575,1576,1485,1445,1373,1404,1253,1306,1348,1351,1352,1498,1108,1099,1116,1058,894,887,926,921,874,884,723,725,678,587,553,437,429,339,279,1072
East Lothian,101312,1025,1137,1123,1161,1139,1292,1336,1223,1283,1345,1253,1269,1166,1186,1018,1095,1130,1184,1112,1092,1117,1140,1155,1231,1268,1325,1113,1063,1003,1066,1075,1127,1089,1073,1163,1216,1235,1146,1284,1152,1222,1273,1297,1338,1498,1502,1611,1577,1574,1685,1695,1570,1760,1625,1713,1625,1621,1550,1554,1448,1479,1362,1315,1276,1204,1212,1204,1203,1175,1355,1374,1056,970,1062,913,881,818,775,713,793,622,636,538,562,477,436,367,355,286,224,849
East Renfrewshire,93851,915,1001,1024,1120,1225,1264,1344,1266,1224,1279,1275,1245,1281,1239,1166,1161,1184,1209,1145,1086,1096,1069,1025,1017,1031,962,886,885,933,891,821,832,801,876,857,985,1065,1121,1113,1161,1122,1165,1151,1212,1344,1346,1384,1323,1455,1406,1506,1476,1403,1546,1430,1438,1353,1353,1358,1296,1264,1296,1171,1098,1090,1060,996,1008,1044,1102,1146,871,847,876,810,702,724,659,671,661,640,632,566,529,463,463,392,343,302,223,964
Falkirk,159131,1565,1633,1689,1751,1733,1898,1870,1901,1956,1876,1877,1783,1793,1700,1694,1610,1664,1752,1767,1785,1824,1787,1861,1779,1870,1880,1934,1842,1765,1936,1869,1932,2003,1945,1984,2126,2088,2084,2096,1993,1957,2067,2157,2202,2332,2493,2509,2469,2526,2589,2580,2540,2567,2521,2440,2420,2292,2223,2203,2144,2036,1966,1836,1797,1839,1736,1860,1851,1860,1870,2055,1448,1421,1391,1334,1182,1080,1107,1135,1009,954,871,820,717,623,571,478,410,356,279,1112
Fife,370222,3611,3769,4002,3959,4064,4151,4408,4282,4335,4278,4056,4091,3971,3917,3791,3648,3919,3829,4333,4804,5077,5119,4942,4762,4491,4562,4467,4366,4397,4289,4165,4264,4158,4077,4249,4481,4471,4421,4388,4067,4046,4309,4354,4490,4765,5076,5376,5191,5541,5621,5654,5498,5683,5637,5514,5445,5275,5396,5233,5107,4871,4734,4571,4589,4411,4302,4421,4455,4627,4804,5291,3849,3692,3682,3380,3119,2673,2742,2633,2485,2353,2186,1940,1752,1619,1404,1212,1135,981,786,3069
Glasgow City,607646,6856,6870,6888,6821,6769,6932,6916,6182,6256,6108,5782,5555,5439,5308,5237,5218,5747,5979,6738,8540,9517,10040,10470,11310,12734,14372,14049,13351,13170,12793,12077,11762,11328,10489,10606,10017,9725,9271,8642,7812,7123,7460,7248,7121,7349,7782,7964,8018,8332,8421,8127,8250,8338,8437,8407,8323,7962,7483,7414,7096,6789,6646,6133,5764,5385,5146,5107,4956,4920,4975,5169,3960,3762,3761,3571,3287,3128,3175,3100,2970,2786,2546,2562,2188,2014,1905,1682,1431,1131,1003,3737
Highland,231211,2103,2259,2364,2281,2369,2479,2555,2458,2702,2673,2590,2598,2584,2530,2499,2511,2597,2532,2603,2335,2263,2231,2419,2483,2389,2402,2475,2390,2437,2567,2663,2657,2679,2748,2631,2746,2897,2732,2679,2500,2466,2700,2765,2706,2933,3164,3333,3349,3376,3639,3597,3796,3893,3864,3648,3616,3702,3541,3537,3464,3433,3344,3215,3255,3195,3161,3098,3092,3165,3322,3314,2618,2357,2551,2381,2143,1867,1891,1786,1679,1486,1444,1344,1263,1100,1038,894,768,699,537,2041
Inverclyde,78760,685,702,754,769,792,794,831,858,802,861,831,808,850,837,785,742,828,860,907,821,906,974,948,937,901,1008,1011,945,862,915,884,958,849,837,876,901,876,925,857,800,808,805,914,883,961,1006,1095,1094,1151,1290,1299,1314,1311,1318,1376,1362,1331,1280,1276,1104,1147,1073,1045,971,976,933,1013,976,946,963,1011,827,734,828,759,626,632,570,593,572,547,513,426,386,359,392,294,263,240,163,717
Midlothian,90090,1109,1160,1174,1160,1115,1194,1131,1122,1101,1061,1017,1047,1001,987,932,918,1008,1017,1015,904,947,891,1010,1036,1016,1068,1113,1039,1079,1106,1077,1122,1082,1127,1157,1197,1186,1232,1175,1086,1036,1095,1111,1140,1121,1216,1360,1322,1292,1360,1347,1301,1364,1303,1369,1317,1258,1259,1224,1223,1214,1089,1055,1056,1053,1000,1052,1034,1102,1062,1202,912,822,833,774,645,623,597,569,568,500,482,447,381,313,308,284,254,199,151,572
Moray,95780,860,949,915,938,1027,961,1079,1088,1089,1217,1097,1017,1023,1018,1053,1031,1079,1127,1065,959,1025,1091,1082,1142,1061,1163,1001,1076,1097,1091,1148,1144,1200,1090,1076,1160,994,1096,1112,1006,1025,1120,1134,1218,1273,1395,1444,1393,1464,1457,1479,1484,1468,1458,1477,1440,1379,1354,1278,1322,1292,1319,1202,1190,1214,1136,1183,1198,1141,1226,1329,1009,993,975,931,830,770,757,711,682,641,552,607,511,462,414,389,303,265,253,786
