objectid,name,area,centroid_x, centroid_y
1,Hartlepool,93558819.64541522,447857.4851005132,530740.3052715078
2,Middlesbrough,53742766.80711522,450410.462441676,516570.3325621419
3,Redcar and Cleveland,244793902.2913329,463451.4415181045,517811.31396333186
4,Stockton-on-Tees,204955062.7894473,443274.35526153137,518687.3763615293
5,Darlington,197475687.8005617,429039.41059667454,517141.60305863933
6,Halton,45449475.45188708,354812.45452498714,381872.4148093224
7,Warrington,180627988.9104327,362677.16529122705,389288.9069987305
8,Blackburn with Darwen,137022078.05317253,369223.8341202835,421897.90985256556
9,Blackpool,34851505.95995195,332337.5735063056,436216.69035637396
10,Kingston upon Hull, City of,39321412.536958836,511973.9051544254,431979.87043850275
11,East Riding of Yorkshire,2266458004.92765,500859.2478252925,444444.9859447259
12,North East Lincolnshire,191863775.60538214,523454.52993680903,406715.1598015021
13,North Lincolnshire,612114581.2565337,498738.9805821014,412732.08947164594
14,York,271936983.7484334,461681.62316696334,451813.5540448699
15,Derby,78031123.34090438,435849.8083541582,335145.36591358366
16,Leicester,73342074.99195929,459074.0358463947,304819.37917978433
17,Rutland,393748910.4142148,491087.92558576894,307849.36931694276
18,Nottingham,74613562.6312776,455412.6709559139,340674.4645454519
19,Herefordshire, County of,2179709445.3572893,349071.840876046,245278.07805402178
20,Telford and Wrekin,290313548.62294436,367088.9050830162,314840.4550830509
21,Stoke-on-Trent,93448486.4012635,389059.95957486785,346759.3171271776
22,Bath and North East Somerset,351123211.79727,367002.97385841707,161986.48382836021
23,Bristol, City of,109698156.08560038,358385.1908118528,174375.22741432805
24,North Somerset,374438870.387781,344846.4718966715,165941.45976346187
25,South Gloucestershire,496947069.4651784,368373.4788883194,182651.7982737108
26,Plymouth,79782216.59169061,249530.60731336888,56827.34118878331
27,Torbay,62888559.335657105,289734.0104505677,61363.65438358767
28,Bournemouth,46176559.17528225,410003.96738353727,93641.74991462241
29,Poole,64690080.73651321,402727.2769987814,93941.33683740068
30,Swindon,230093376.65704334,417851.97055031086,185880.8741068209
31,Peterborough,343378153.433859,518385.6631661544,302630.43365912413
39,Slough,32542008.656854585,498212.56559197715,179777.12798632853
40,Windsor and Maidenhead,198427174.86719,490398.61661141436,177103.9213939844
41,Wokingham,178965478.07250345,477692.99584234407,170635.28479792224
42,Milton Keynes,308626787.8897846,486878.37201570853,243584.21025658865
43,Brighton and Hove,82785268.30046886,531464.145867673,106669.46552595375
32,Luton,43352491.58686883,508435.37984187494,222912.63674237602
33,Southend-on-Sea,41036972.5123923,588043.8168902337,186710.57565576298
34,Thurrock,163270512.91425163,564386.7197524024,181562.8728272071
35,Medway,131480269.65674077,577544.1163917551,174065.01225920537
36,Bracknell Forest,109384211.95708282,487751.6655083409,168429.6750798933
37,West Berkshire,704169402.8141494,448431.9997002443,172522.95841852564
44,Portsmouth,24517329.957970567,465552.93210566306,101046.4058023914
45,Southampton,49914070.415379174,442329.03674115526,113555.10381227454
46,Isle of Wight,380157097.8581973,449705.78173321334,86348.57460156092
47,County Durham,2231542403.793928,410399.9225169385,533387.0499483376
48,Cheshire East,1166357384.202363,376709.8193055965,364853.8826896938
49,Cheshire West and Chester,916697406.7953877,351228.22173316684,366958.14051594154
50,Shropshire,3197275380.2249627,350418.86494720296,304381.03354165045
51,Cornwall,3549041544.6904244,199182.6577112745,60095.73887567259
52,Isles of Scilly,6567221.969419627,91581.10578326377,11180.195001209553
53,Wiltshire,3255338121.939634,403958.624072301,155333.53871131784
54,Bedford,476408299.03284943,504204.7733828615,255641.4477940458
55,Central Bedfordshire,715665296.0484482,507430.32872833544,235397.8596288306
56,Northumberland,4999390692.4879265,395657.17079109454,593448.8512581941
57,Aylesbury Vale,902753229.0084088,476804.0603648543,222101.54407652255
58,Chiltern,196348230.42851397,494972.4933327319,198861.91112319144
59,South Bucks,141275608.65320727,497845.49892017874,185107.91214864736
60,Wycombe,324572078.9727315,482065.9864497689,195153.164403172
121,Gosport,25358122.26167546,459210.69334838324,100954.12404317858
122,Hart,215265081.97194746,476987.112019322,154540.75220511807
123,Havant,39171406.411985256,470714.4745870275,108035.31533967587
124,New Forest,752821910.4491942,426080.39179205283,106774.40289881751
125,Rushmoor,39045039.39590832,486073.61554880225,153420.60409076113
126,Test Valley,627525743.0329466,434339.44430180895,136690.0212522022
127,Winchester,660974522.9234681,454721.8317894492,125712.33520158335
128,Broxbourne,51442302.96789618,534962.8937175889,204736.26965902388
129,Dacorum,212476401.7077072,500761.089590635,209841.76132425026
130,Hertsmere,101128160.99323079,518946.39283257176,199011.47919320458
131,North Hertfordshire,375382311.7744278,524280.54200980684,230498.86119852788
132,Three Rivers,88824171.14302452,506574.1046814885,196919.94955150265
38,Reading,40397990.83784113,470705.90940169216,173155.7525425571
61,Cambridge,40698796.39121843,545867.8393961546,257825.6314354455
62,East Cambridgeshire,618661046.8377464,557098.6981730001,273685.1246048393
63,Fenland,426265865.45585716,539646.4002190734,294837.62324390776
64,Huntingdonshire,912455719.8792604,521219.3292995156,276552.88371381455
65,South Cambridgeshire,901627228.5568666,542425.294173926,254765.91777950092
66,Allerdale,1257766812.4344144,320065.9605060689,534975.6807906209
67,Barrow-in-Furness,64590754.33702973,321991.2523372943,473101.72219685174
68,Carlisle,1039265349.2232594,348605.8507149231,564360.2422391417
69,Copeland,737584806.3312819,311020.98310343333,503616.62504399
70,Eden,2156474483.058982,359937.7774283607,524357.9757182637
71,South Lakeland,1549499237.4904146,346041.2449779759,491126.65322501754
72,Amber Valley,265437866.98853397,435866.71044253116,348127.295815075
73,Bolsover,160334648.47260076,448355.4294870297,368973.5106296718
74,Chesterfield,66035288.733821556,440043.5840985308,373419.7658769931
75,Derbyshire Dales,795318061.4654207,420594.19121877215,359042.0674454337
76,Erewash,109630047.00755806,444007.05249171774,337765.3007196301
77,High Peak,540253996.8111721,408484.5814833692,386239.6254898831
78,North East Derbyshire,275623527.2214027,436930.37856327597,370006.8020698569
79,South Derbyshire,338128983.64493024,429772.26243241294,326031.9889566764
80,East Devon,814361626.9660608,313857.66067356814,96926.66331809925
81,Exeter,47042953.408369325,293450.010850653,92496.56945076401
82,Mid Devon,912897718.3802558,290591.0424904478,109683.83276089397
83,North Devon,1086031787.0556118,266223.74286875397,131706.68177973962
84,South Hams,886344317.9256513,270453.8057118301,54389.00091297851
85,Teignbridge,673892714.0989805,282762.0069908585,79849.39036530042
86,Torridge,981095983.6124754,241950.25529205808,111872.95891238826
87,West Devon,1161094497.2233448,255491.97782327796,86114.13582603402
88,Christchurch,50275930.1030004,414964.76285612356,95903.25386550165
89,East Dorset,354417948.9842787,402803.2768212508,107131.79995923926
90,North Dorset,609217912.7526544,382779.8836570939,112584.85694192539
91,Purbeck,401401013.34531116,390268.57295276446,86836.01337369655
92,West Dorset,1081528617.1625204,359323.25039977254,98567.76496207515
93,Weymouth and Portland,29691350.576354984,367572.06480050646,81833.68438917978
94,Eastbourne,44159462.240146376,559862.3811664209,99915.33897160327
95,Hastings,29724298.941335574,580960.6764354465,110973.29430315438
96,Lewes,291345484.79787266,541110.1468297319,111175.29246042798
97,Rother,511745166.3245512,578319.185992891,120041.9863503451
98,Wealden,834998443.7845978,554473.5013625241,120991.15739678385
99,Basildon,110021682.96455193,570932.2900220935,190819.90587472456
100,Braintree,611707971.8527571,578118.150093676,230204.72682570582
101,Brentwood,153124047.08808887,560000.5203351382,195842.87600342458
102,Castle Point,26361270.254553083,579354.4962408047,187706.89821656464
